"Enrichment FDR","Genes in list","Total genes","Functional Category","Genes"
1.14570964433802e-12,98,501,"Vesicle-mediated transport ","AT1G01960 AT1G05360 AT1G08560 AT1G09580 AT1G11890 AT1G15880 AT1G21900 AT1G22200 AT1G26690 AT1G29330 AT1G30890 AT1G31780 AT1G36050 AT1G52360 AT1G72710 AT1G79590 AT1G79990 AT2G01600 AT2G14720 AT2G25430 AT2G29700 AT2G35190 AT2G36900 AT2G37975 AT2G45200 AT2G45990 AT3G09900 AT3G11530 AT3G13670 AT3G22950 AT3G43300 AT3G52850 AT3G54085 AT3G54300 AT3G59500 AT3G62560 AT3G63460 AT4G04910 AT4G14160 AT4G17730 AT4G17890 AT4G21560 AT4G24840 AT4G27080 AT4G28540 AT4G31490 AT4G32285 AT4G36520 AT5G02280 AT5G08080 AT5G16830 AT5G22360 AT5G22950 AT5G35200 AT5G39510 AT5G42570 AT5G43320 AT5G44560 AT5G46750 AT5G46860 AT5G59840 AT1G04260 AT1G08770 AT1G55190 AT2G40380 AT3G13720 AT3G56110 AT5G06140 AT5G07110 AT5G41950 AT5G46630 AT1G05785 AT1G10380 AT1G60070 AT2G37550 AT3G05280 AT3G07100 AT3G11730 AT3G12180 AT3G13870 AT3G19960 AT3G54840 AT3G58170 AT3G58600 AT4G11380 AT4G14455 AT4G15780 AT4G20410 AT4G24550 AT4G35410 AT5G11490 AT5G27490 AT5G56020 AT1G10290 AT2G27600 AT5G54310 AT5G57460 AT5G66030"
1.26861439450835e-12,261,1963,"Small molecule metabolic process ","AT1G05620 AT1G06550 AT1G06570 AT1G09430 AT1G12780 AT1G14610 AT1G16350 AT1G17745 AT1G22440 AT1G23190 AT1G25220 AT1G25350 AT1G30110 AT1G31180 AT1G33990 AT1G37130 AT1G48850 AT1G50480 AT1G52710 AT1G58080 AT1G60810 AT1G63290 AT1G72550 AT1G74960 AT1G75180 AT1G75330 AT1G78670 AT1G80460 AT2G01090 AT2G01220 AT2G01350 AT2G05830 AT2G06050 AT2G07671 AT2G13560 AT2G14170 AT2G18750 AT2G19680 AT2G21790 AT2G23820 AT2G27450 AT2G28760 AT2G36310 AT2G36580 AT2G39020 AT2G40660 AT2G43760 AT2G45290 AT2G45300 AT2G47650 AT3G01260 AT3G01310 AT3G02570 AT3G02630 AT3G02760 AT3G04600 AT3G04940 AT3G05290 AT3G06060 AT3G06350 AT3G06580 AT3G07270 AT3G08510 AT3G14390 AT3G17940 AT3G20790 AT3G27740 AT3G29200 AT3G47220 AT3G53520 AT3G54640 AT3G55410 AT3G62830 AT4G00570 AT4G02610 AT4G04955 AT4G10040 AT4G10320 AT4G16760 AT4G24620 AT4G24830 AT4G26300 AT4G26870 AT4G26970 AT4G31810 AT4G32520 AT4G33910 AT4G35220 AT4G37410 AT5G01410 AT5G08570 AT5G09600 AT5G11880 AT5G13280 AT5G14060 AT5G16760 AT5G17380 AT5G18900 AT5G22630 AT5G23250 AT5G24760 AT5G25900 AT5G26710 AT5G26780 AT5G26830 AT5G27450 AT5G27520 AT5G28020 AT5G38830 AT5G48545 AT5G51830 AT5G51880 AT5G56350 AT5G58220 AT5G59440 AT5G64370 AT5G66280 AT1G48420 AT1G53000 AT1G74100 AT1G76690 AT1G78570 AT1G80360 AT2G22330 AT2G43820 AT2G45670 AT2G46370 AT3G01420 AT3G27190 AT3G51840 AT4G17050 AT4G20070 AT4G39080 AT4G39950 AT4G39980 AT5G23670 AT5G40760 AT5G43600 AT1G08510 AT1G14810 AT1G17290 AT1G20950 AT1G31020 AT1G34430 AT1G49820 AT1G51630 AT1G53310 AT1G62180 AT1G62430 AT1G62640 AT1G71340 AT1G72040 AT1G74030 AT1G74210 AT1G74260 AT1G76030 AT1G76150 AT2G03440 AT2G03690 AT2G04240 AT2G15620 AT2G17130 AT2G17265 AT2G19800 AT2G22230 AT2G22480 AT2G22780 AT2G29560 AT2G31350 AT2G33840 AT2G35010 AT2G35040 AT2G38040 AT2G39800 AT2G44500 AT3G01090 AT3G01910 AT3G02720 AT3G06310 AT3G06850 AT3G08710 AT3G10340 AT3G10740 AT3G13930 AT3G14940 AT3G18030 AT3G26370 AT3G49680 AT3G51520 AT3G52200 AT3G53260 AT3G55610 AT3G57550 AT3G63410 AT4G05530 AT4G13780 AT4G15940 AT4G16210 AT4G21990 AT4G22300 AT4G23590 AT4G26910 AT4G30550 AT4G32260 AT4G33680 AT4G35260 AT5G04950 AT5G05980 AT5G07370 AT5G10330 AT5G10480 AT5G10810 AT5G16370 AT5G18200 AT5G19150 AT5G19550 AT5G21170 AT5G28840 AT5G35630 AT5G36880 AT5G40650 AT5G41080 AT5G47630 AT5G50370 AT5G55070 AT5G56680 AT5G57655 AT5G59770 AT5G63310 AT5G66120 ATCG00480 ATCG00500 ATMG00513 ATMG01190 AT1G67280 AT3G25540 AT4G30440 AT1G05680 AT1G12160 AT1G74910 AT1G76790 AT2G25450 AT3G15690 AT3G18140 AT3G19260 AT3G56580 AT3G62030 AT4G01120 AT4G03560 AT4G20380 AT4G31730 AT5G17460 AT5G25760 AT5G47680 AT5G60890 AT5G61590 AT5G61780 AT5G24530 AT1G22640 AT3G16950 AT3G44320"
1.26861439450835e-12,125,727,"Intracellular transport ","AT1G01910 AT1G06400 AT1G08560 AT1G09270 AT1G09580 AT1G09630 AT1G11890 AT1G15880 AT1G17530 AT1G21900 AT1G22200 AT1G26690 AT1G29310 AT1G29330 AT1G30890 AT1G36050 AT1G52280 AT1G52360 AT1G52710 AT1G67680 AT1G79590 AT1G79990 AT2G14720 AT2G20890 AT2G29700 AT2G35190 AT2G35795 AT2G36900 AT2G37975 AT2G37990 AT2G45000 AT2G45200 AT3G06720 AT3G06960 AT3G07910 AT3G09900 AT3G11530 AT3G11730 AT3G16480 AT3G22950 AT3G26935 AT3G27100 AT3G46830 AT3G49100 AT3G49560 AT3G52850 AT3G54085 AT3G54840 AT3G55020 AT3G59020 AT3G59500 AT3G62560 AT3G63460 AT4G00026 AT4G02510 AT4G09720 AT4G14160 AT4G16143 AT4G17730 AT4G17890 AT4G20410 AT4G21560 AT4G26670 AT4G27080 AT4G27640 AT4G31490 AT4G32910 AT4G40042 AT5G02280 AT5G03530 AT5G05680 AT5G08080 AT5G09920 AT5G16830 AT5G19820 AT5G22950 AT5G23395 AT5G24650 AT5G35080 AT5G39510 AT5G42570 AT5G44560 AT5G45750 AT5G46750 AT5G46860 AT5G53570 AT5G59150 AT5G59840 AT1G04940 AT1G43700 AT3G53110 AT4G13350 AT5G06140 ATCG01280 AT1G50670 AT1G52380 AT1G60070 AT1G79280 AT2G30060 AT2G37678 AT3G07100 AT3G27080 AT3G48570 AT4G11380 AT4G24550 AT4G32760 AT4G35410 AT5G11490 AT5G46630 AT5G58590 AT5G63640 AT1G10290 AT1G54030 AT2G04030 AT2G19080 AT3G13870 AT3G54300 AT4G24280 AT5G25760 AT5G50920 AT2G42810 AT3G48870 AT4G14455 AT1G08820 AT3G63130"
1.52996939372498e-12,250,1865,"Organonitrogen compound biosynthetic process ","AT1G01230 AT1G09430 AT1G14290 AT1G14610 AT1G15920 AT1G16350 AT1G17470 AT1G18070 AT1G22140 AT1G25220 AT1G25350 AT1G31180 AT1G31817 AT1G43580 AT1G48140 AT1G48850 AT1G50480 AT1G52710 AT1G58080 AT1G60810 AT1G63110 AT1G69640 AT1G72550 AT1G75330 AT1G76400 AT1G78630 AT2G01220 AT2G01350 AT2G05830 AT2G07671 AT2G07696 AT2G19680 AT2G20280 AT2G23820 AT2G27450 AT2G35520 AT2G35610 AT2G36580 AT2G37940 AT2G38140 AT2G40660 AT2G41600 AT2G43760 AT2G44065 AT3G02570 AT3G02760 AT3G04600 AT3G04940 AT3G06060 AT3G07270 AT3G14390 AT3G25540 AT3G26935 AT3G27740 AT3G29200 AT3G54640 AT3G56910 AT3G57220 AT4G02610 AT4G10320 AT4G16710 AT4G20980 AT4G23620 AT4G24620 AT4G24830 AT4G26300 AT4G26870 AT4G26940 AT4G32520 AT4G39880 AT5G01410 AT5G03080 AT5G08570 AT5G09920 AT5G11880 AT5G13280 AT5G14060 AT5G17290 AT5G22630 AT5G24490 AT5G25754 AT5G26710 AT5G26780 AT5G26830 AT5G28020 AT5G30510 AT5G38830 AT5G39800 AT5G39850 AT5G40080 AT5G42000 AT5G44320 AT5G53120 AT5G56350 AT5G59440 AT5G64370 AT1G74100 AT1G80360 AT2G26670 AT3G27190 AT4G27430 AT4G39080 AT5G23450 AT5G23670 AT5G27380 AT5G58220 AT1G06220 AT1G08660 AT1G11400 AT1G11480 AT1G13950 AT1G14810 AT1G15250 AT1G15390 AT1G16040 AT1G17745 AT1G20575 AT1G20950 AT1G26740 AT1G29070 AT1G29965 AT1G29970 AT1G30590 AT1G32130 AT1G34430 AT1G35680 AT1G44770 AT1G48350 AT1G48410 AT1G49400 AT1G49820 AT1G61580 AT1G62180 AT1G62430 AT1G64880 AT1G65440 AT1G70190 AT1G72730 AT1G73180 AT1G74030 AT1G74260 AT1G77750 AT1G77840 AT1G80620 AT2G07725 AT2G17265 AT2G22480 AT2G22540 AT2G27040 AT2G29560 AT2G32260 AT2G33840 AT2G35040 AT2G38040 AT2G39800 AT2G40290 AT2G42780 AT2G43030 AT2G44500 AT2G44520 AT2G45300 AT2G45730 AT2G45810 AT3G03600 AT3G04230 AT3G05500 AT3G06320 AT3G06350 AT3G11540 AT3G13120 AT3G13930 AT3G15820 AT3G17465 AT3G18000 AT3G18030 AT3G20260 AT3G22300 AT3G26360 AT3G27830 AT3G49100 AT3G49680 AT3G52200 AT3G54210 AT3G55610 AT3G55830 AT3G57490 AT3G59650 AT3G60240 AT3G61240 AT4G00660 AT4G03240 AT4G10100 AT4G11630 AT4G13780 AT4G20330 AT4G21990 AT4G25880 AT4G30800 AT4G30930 AT4G31460 AT4G32260 AT4G33680 AT4G34620 AT4G38040 AT4G39980 AT5G04950 AT5G05980 AT5G10330 AT5G10810 AT5G11750 AT5G14320 AT5G17870 AT5G27820 AT5G35630 AT5G36880 AT5G37475 AT5G40950 AT5G43810 AT5G46160 AT5G53070 AT5G53330 AT5G54600 AT5G54940 AT5G55130 AT5G55140 AT5G56680 AT5G63310 AT5G64670 AT5G65220 AT5G66120 ATCG00480 ATCG00500 ATMG00080 ATMG01190 AT3G16857 AT1G09570 AT1G12160 AT1G76790 AT2G22330 AT2G25450 AT2G42810 AT2G43790 AT3G48780 AT3G56580 AT3G62030 AT4G39950 AT5G50920 AT5G60890 AT3G08730 AT3G16950"
6.26936691599415e-12,169,1133,"Carboxylic acid metabolic process ","AT1G06550 AT1G06570 AT1G09430 AT1G14610 AT1G17745 AT1G25220 AT1G25350 AT1G31180 AT1G33990 AT1G48850 AT1G50480 AT1G58080 AT1G60810 AT1G72550 AT1G74960 AT1G75180 AT1G75330 AT1G78670 AT2G01350 AT2G05830 AT2G06050 AT2G13560 AT2G14170 AT2G18750 AT2G27450 AT2G36580 AT2G39020 AT2G40660 AT2G45300 AT3G02630 AT3G02760 AT3G04600 AT3G04940 AT3G05290 AT3G06350 AT3G14390 AT3G27740 AT3G29200 AT3G54640 AT3G55410 AT4G00570 AT4G02610 AT4G10320 AT4G16760 AT4G24620 AT4G24830 AT4G26300 AT4G26870 AT4G26970 AT4G31810 AT4G32520 AT4G33910 AT4G35220 AT5G01410 AT5G08570 AT5G11880 AT5G13280 AT5G14060 AT5G17380 AT5G18900 AT5G22630 AT5G23250 AT5G25900 AT5G26710 AT5G26780 AT5G26830 AT5G27520 AT5G28020 AT5G38830 AT5G51880 AT5G56350 AT5G64370 AT1G48420 AT1G76690 AT1G80360 AT2G22330 AT2G43820 AT2G45670 AT2G46370 AT3G01420 AT3G51840 AT4G39950 AT4G39980 AT1G08510 AT1G14810 AT1G17290 AT1G20950 AT1G34430 AT1G49820 AT1G53310 AT1G62180 AT1G62640 AT1G74030 AT1G74260 AT1G76150 AT1G80460 AT2G03440 AT2G04240 AT2G17130 AT2G17265 AT2G19800 AT2G22230 AT2G22480 AT2G22780 AT2G29560 AT2G31350 AT2G33840 AT2G38040 AT2G39800 AT3G01090 AT3G02720 AT3G06850 AT3G07270 AT3G10340 AT3G13930 AT3G14940 AT3G49680 AT3G52200 AT3G53260 AT3G55610 AT4G05530 AT4G13780 AT4G15940 AT4G16210 AT4G21990 AT4G22300 AT4G23590 AT4G26910 AT4G30550 AT4G33680 AT4G35260 AT5G04950 AT5G05980 AT5G09600 AT5G10330 AT5G10480 AT5G16370 AT5G19550 AT5G21170 AT5G28840 AT5G35630 AT5G36880 AT5G40650 AT5G47630 AT5G55070 AT5G56680 AT5G59770 AT5G66120 ATCG00500 AT1G67280 AT3G25540 AT4G30440 AT5G51830 AT1G05680 AT1G74910 AT3G15690 AT3G19260 AT3G56580 AT3G62030 AT4G03560 AT4G20380 AT4G31730 AT5G17460 AT5G25760 AT5G60890 AT5G61780 AT5G24530 AT1G22640 AT3G16950"
6.26936691599415e-12,129,783,"Establishment of localization in cell ","AT1G01910 AT1G06400 AT1G08560 AT1G09270 AT1G09580 AT1G09630 AT1G11890 AT1G15880 AT1G17530 AT1G21900 AT1G22200 AT1G26690 AT1G29310 AT1G29330 AT1G30890 AT1G36050 AT1G52280 AT1G52360 AT1G52710 AT1G67680 AT1G79590 AT1G79990 AT2G14720 AT2G20890 AT2G29700 AT2G35190 AT2G35795 AT2G36900 AT2G37975 AT2G37990 AT2G45000 AT2G45200 AT2G46470 AT3G06720 AT3G06960 AT3G07910 AT3G08510 AT3G09900 AT3G11530 AT3G11730 AT3G16480 AT3G22950 AT3G26935 AT3G27100 AT3G46830 AT3G47220 AT3G49100 AT3G49560 AT3G51720 AT3G52850 AT3G54085 AT3G54840 AT3G55020 AT3G59020 AT3G59500 AT3G62560 AT3G63460 AT4G00026 AT4G02510 AT4G09720 AT4G14160 AT4G16143 AT4G17730 AT4G17890 AT4G20410 AT4G21560 AT4G26670 AT4G27080 AT4G27640 AT4G31490 AT4G32910 AT4G40042 AT5G02280 AT5G03530 AT5G05680 AT5G08080 AT5G09920 AT5G16830 AT5G19820 AT5G22950 AT5G23395 AT5G24650 AT5G35080 AT5G39510 AT5G42570 AT5G44560 AT5G45750 AT5G46750 AT5G46860 AT5G53570 AT5G59150 AT5G59840 AT1G04940 AT1G43700 AT3G53110 AT4G13350 AT5G06140 ATCG01280 AT1G50670 AT1G52380 AT1G60070 AT1G79280 AT2G30060 AT2G37678 AT3G07100 AT3G27080 AT3G48570 AT4G11380 AT4G24550 AT4G32760 AT4G35410 AT5G11490 AT5G46630 AT5G58590 AT5G63640 AT1G10290 AT1G54030 AT2G04030 AT2G19080 AT3G13870 AT3G54300 AT4G24280 AT5G25760 AT5G50920 AT2G42810 AT3G48870 AT4G14455 AT1G08820 AT3G63130"
2.91053458441268e-10,150,1013,"Cellular localization ","AT1G01910 AT1G03140 AT1G06400 AT1G08560 AT1G09270 AT1G09580 AT1G09630 AT1G11890 AT1G15880 AT1G17530 AT1G21140 AT1G21900 AT1G22200 AT1G26690 AT1G29310 AT1G29330 AT1G30890 AT1G36050 AT1G52280 AT1G52360 AT1G52710 AT1G63110 AT1G67680 AT1G79590 AT1G79990 AT2G01970 AT2G14720 AT2G20890 AT2G29700 AT2G35190 AT2G35795 AT2G36900 AT2G37678 AT2G37975 AT2G37990 AT2G45000 AT2G45200 AT2G46470 AT2G47900 AT3G06720 AT3G06960 AT3G07910 AT3G08510 AT3G09900 AT3G11530 AT3G11730 AT3G16480 AT3G22950 AT3G26935 AT3G27100 AT3G46830 AT3G47220 AT3G49100 AT3G49560 AT3G51720 AT3G52850 AT3G54085 AT3G54220 AT3G54840 AT3G55020 AT3G59020 AT3G59500 AT3G62560 AT3G63460 AT4G00026 AT4G02510 AT4G04910 AT4G09550 AT4G09720 AT4G14160 AT4G16143 AT4G17730 AT4G17890 AT4G20410 AT4G21560 AT4G26670 AT4G27080 AT4G27640 AT4G31490 AT4G32910 AT4G40042 AT5G01600 AT5G02280 AT5G03530 AT5G05680 AT5G08080 AT5G09920 AT5G16830 AT5G18680 AT5G19820 AT5G22950 AT5G23395 AT5G24650 AT5G35080 AT5G37310 AT5G39510 AT5G42570 AT5G44560 AT5G45750 AT5G46750 AT5G46860 AT5G53570 AT5G59150 AT5G59840 AT1G04940 AT1G43700 AT2G22125 AT3G53110 AT4G13350 AT5G06140 ATCG01280 AT1G50670 AT1G52380 AT1G60070 AT1G75760 AT1G79280 AT2G30060 AT3G07100 AT3G27080 AT3G48570 AT4G11380 AT4G24550 AT4G32760 AT4G35410 AT4G38790 AT5G11490 AT5G46630 AT5G58590 AT5G63640 AT1G10290 AT1G34350 AT1G54030 AT2G04030 AT2G19080 AT2G22330 AT3G07160 AT3G13870 AT3G54300 AT3G54640 AT4G24280 AT4G30996 AT4G39080 AT4G39950 AT5G25760 AT5G50920 AT2G42810 AT3G48870 AT4G14455 AT1G08820 AT3G63130"
3.2515650746755e-10,181,1302,"Organic acid metabolic process ","AT1G06550 AT1G06570 AT1G09430 AT1G14610 AT1G17745 AT1G25220 AT1G25350 AT1G31180 AT1G33990 AT1G37130 AT1G48850 AT1G50480 AT1G58080 AT1G60810 AT1G72550 AT1G74960 AT1G75180 AT1G75330 AT1G78670 AT2G01350 AT2G05830 AT2G06050 AT2G13560 AT2G14170 AT2G18750 AT2G27450 AT2G36580 AT2G39020 AT2G40660 AT2G45300 AT3G02630 AT3G02760 AT3G04600 AT3G04940 AT3G05290 AT3G06350 AT3G14390 AT3G27740 AT3G29200 AT3G54640 AT3G55410 AT4G00570 AT4G02610 AT4G10320 AT4G16760 AT4G24620 AT4G24830 AT4G26300 AT4G26870 AT4G26970 AT4G31810 AT4G32520 AT4G33910 AT4G35220 AT4G37410 AT5G01410 AT5G08570 AT5G11880 AT5G13280 AT5G14060 AT5G17380 AT5G18900 AT5G22630 AT5G23250 AT5G25900 AT5G26710 AT5G26780 AT5G26830 AT5G27520 AT5G28020 AT5G38830 AT5G51880 AT5G56350 AT5G64370 AT1G48420 AT1G74100 AT1G76690 AT1G80360 AT2G22330 AT2G43820 AT2G45670 AT2G46370 AT3G01420 AT3G51840 AT4G39950 AT4G39980 AT1G08510 AT1G14810 AT1G17290 AT1G20950 AT1G34430 AT1G49820 AT1G53310 AT1G62180 AT1G62640 AT1G74030 AT1G74260 AT1G76150 AT1G80460 AT2G03440 AT2G04240 AT2G15620 AT2G17130 AT2G17265 AT2G19800 AT2G22230 AT2G22480 AT2G22780 AT2G29560 AT2G31350 AT2G33840 AT2G38040 AT2G39800 AT3G01090 AT3G01910 AT3G02720 AT3G06850 AT3G07270 AT3G10340 AT3G13930 AT3G14940 AT3G49680 AT3G52200 AT3G53260 AT3G55610 AT4G05530 AT4G13780 AT4G15940 AT4G16210 AT4G21990 AT4G22300 AT4G23590 AT4G26910 AT4G30550 AT4G33680 AT4G35260 AT5G04950 AT5G05980 AT5G09600 AT5G10330 AT5G10480 AT5G16370 AT5G19550 AT5G21170 AT5G28840 AT5G35630 AT5G36880 AT5G40650 AT5G47630 AT5G55070 AT5G56680 AT5G58220 AT5G59770 AT5G66120 ATCG00500 AT1G67280 AT3G25540 AT4G30440 AT5G51830 AT1G05680 AT1G12160 AT1G74910 AT1G76790 AT2G25450 AT3G15690 AT3G19260 AT3G56580 AT3G62030 AT4G01120 AT4G03560 AT4G20380 AT4G31730 AT5G17460 AT5G25760 AT5G60890 AT5G61590 AT5G61780 AT5G24530 AT1G22640 AT3G16950 AT3G44320"
4.45308698420799e-10,180,1299,"Oxoacid metabolic process ","AT1G06550 AT1G06570 AT1G09430 AT1G14610 AT1G17745 AT1G25220 AT1G25350 AT1G31180 AT1G33990 AT1G37130 AT1G48850 AT1G50480 AT1G58080 AT1G60810 AT1G72550 AT1G74960 AT1G75180 AT1G75330 AT1G78670 AT2G01350 AT2G05830 AT2G06050 AT2G13560 AT2G14170 AT2G18750 AT2G27450 AT2G36580 AT2G39020 AT2G40660 AT2G45300 AT3G02630 AT3G02760 AT3G04600 AT3G04940 AT3G05290 AT3G06350 AT3G14390 AT3G27740 AT3G29200 AT3G54640 AT3G55410 AT4G00570 AT4G02610 AT4G10320 AT4G16760 AT4G24620 AT4G24830 AT4G26300 AT4G26870 AT4G26970 AT4G31810 AT4G32520 AT4G33910 AT4G35220 AT4G37410 AT5G01410 AT5G08570 AT5G11880 AT5G13280 AT5G14060 AT5G17380 AT5G18900 AT5G22630 AT5G23250 AT5G25900 AT5G26710 AT5G26780 AT5G26830 AT5G27520 AT5G28020 AT5G38830 AT5G51880 AT5G56350 AT5G64370 AT1G48420 AT1G74100 AT1G76690 AT1G80360 AT2G22330 AT2G43820 AT2G45670 AT2G46370 AT3G01420 AT3G51840 AT4G39950 AT4G39980 AT1G08510 AT1G14810 AT1G17290 AT1G20950 AT1G34430 AT1G49820 AT1G53310 AT1G62180 AT1G62640 AT1G74030 AT1G74260 AT1G76150 AT1G80460 AT2G03440 AT2G04240 AT2G15620 AT2G17130 AT2G17265 AT2G19800 AT2G22230 AT2G22480 AT2G22780 AT2G29560 AT2G31350 AT2G33840 AT2G38040 AT2G39800 AT3G01090 AT3G01910 AT3G02720 AT3G06850 AT3G07270 AT3G10340 AT3G13930 AT3G14940 AT3G49680 AT3G52200 AT3G53260 AT3G55610 AT4G05530 AT4G13780 AT4G15940 AT4G16210 AT4G21990 AT4G22300 AT4G23590 AT4G26910 AT4G30550 AT4G33680 AT4G35260 AT5G04950 AT5G05980 AT5G09600 AT5G10330 AT5G10480 AT5G16370 AT5G19550 AT5G21170 AT5G28840 AT5G35630 AT5G36880 AT5G40650 AT5G47630 AT5G55070 AT5G56680 AT5G59770 AT5G66120 ATCG00500 AT1G67280 AT3G25540 AT4G30440 AT5G51830 AT1G05680 AT1G12160 AT1G74910 AT1G76790 AT2G25450 AT3G15690 AT3G19260 AT3G56580 AT3G62030 AT4G01120 AT4G03560 AT4G20380 AT4G31730 AT5G17460 AT5G25760 AT5G60890 AT5G61590 AT5G61780 AT5G24530 AT1G22640 AT3G16950 AT3G44320"
1.25558022185745e-09,151,1046,"Cellular amide metabolic process ","AT1G01230 AT1G09430 AT1G14610 AT1G15920 AT1G17190 AT1G17470 AT1G18070 AT1G22140 AT1G25350 AT1G27140 AT1G31817 AT1G50480 AT1G60810 AT1G63770 AT1G72550 AT1G78630 AT1G78670 AT2G07696 AT2G20280 AT2G30440 AT2G37940 AT2G38140 AT2G40660 AT2G41600 AT2G44065 AT3G02760 AT3G04600 AT3G25540 AT3G27740 AT3G43800 AT3G56910 AT4G10320 AT4G20980 AT4G23620 AT4G24830 AT4G26300 AT4G26870 AT4G32520 AT4G33090 AT4G33410 AT4G39880 AT4G40042 AT5G09920 AT5G23250 AT5G24490 AT5G25754 AT5G26710 AT5G26780 AT5G26830 AT5G27450 AT5G30510 AT5G38830 AT5G39800 AT5G39850 AT5G40080 AT5G42000 AT5G44320 AT4G17050 AT4G20070 AT5G27380 AT5G43600 AT5G58220 AT1G06220 AT1G11400 AT1G11480 AT1G13950 AT1G15250 AT1G15390 AT1G26740 AT1G29070 AT1G29965 AT1G29970 AT1G30590 AT1G32130 AT1G35680 AT1G44770 AT1G48350 AT1G48410 AT1G49400 AT1G61580 AT1G64880 AT1G65440 AT1G70190 AT1G72730 AT1G73180 AT1G77750 AT1G77840 AT1G80620 AT2G07725 AT2G22540 AT2G27040 AT2G33840 AT2G38040 AT2G40290 AT2G42780 AT2G43030 AT2G45730 AT2G45810 AT3G03600 AT3G04230 AT3G05500 AT3G06320 AT3G07270 AT3G13120 AT3G17465 AT3G20260 AT3G22300 AT3G24170 AT3G26360 AT3G27830 AT3G49100 AT3G54210 AT3G57490 AT3G59650 AT3G60240 AT3G61240 AT4G00660 AT4G04955 AT4G11630 AT4G13780 AT4G20330 AT4G25880 AT4G26910 AT4G30800 AT4G30930 AT4G31460 AT4G34620 AT5G05980 AT5G11750 AT5G14320 AT5G17870 AT5G27820 AT5G36880 AT5G37475 AT5G40950 AT5G43810 AT5G46160 AT5G53070 AT5G53330 AT5G54600 AT5G54940 AT5G55070 AT5G55140 AT5G56680 AT5G64670 AT5G65220 ATCG00500 ATMG00080 AT1G09570 AT3G08730 AT3G16950"
