"Source Name","Sample Name","Comment: Original Submitted Sample Name","Protocol REF","Characteristics: Organism","Factor Value: ecotype","Factor Value: Space Flight","Material Type","Parameter Value: duration","Parameter Value: Activation time","Factor Value: light","Parameter Value: Age at harvest","Parameter Value: Sample Storage Method","Parameter Value: Sample Preservation Method",
"solid 0.5x MS media plates; grown on the ground, 11 day old plant harvested into KFT containing RNAlater fixative","Atha_Col-0_root_GC_Alight_Rep1_GSM2493759","GSM2493759","growth protocol","Arabidopsis thaliana ","Col-0 ","Ground Control ","root ","11 day"," ","4-6 umoles m-2 s-1 total light ","11 day","-80C ","RNAlater ",
"solid 0.5x MS media plates; grown on the ground, 11 day old plant harvested into KFT containing RNAlater fixative","Atha_Col-0_root_GC_Alight_Rep2_GSM2493760","GSM2493760","growth protocol","Arabidopsis thaliana ","Col-0 ","Ground Control ","root ","11 day"," ","4-6 umoles m-2 s-1 total light ","11 day","-80C ","RNAlater ",
"solid 0.5x MS media plates; grown on the ground, 11 day old plant harvested into KFT containing RNAlater fixative","Atha_Col-0_root_GC_Alight_Rep3_GSM2493761","GSM2493761","growth protocol","Arabidopsis thaliana ","Col-0 ","Ground Control ","root ","11 day"," ","4-6 umoles m-2 s-1 total light ","11 day","-80C ","RNAlater ",
"solid 0.5x MS media plates; grown on the ground, 11 day old plant harvested into KFT containing RNAlater fixative","Atha_Col-0_root_GC_dark_Rep1_GSM2493768","GSM2493768","growth protocol","Arabidopsis thaliana ","Col-0 ","Ground Control ","root ","11 day"," ","Light-activated for 4 hours, then dark-grown ","11 day","-80C ","RNAlater ",
"solid 0.5x MS media plates; grown on the ground, 11 day old plant harvested into KFT containing RNAlater fixative","Atha_Col-0_root_GC_dark_Rep2_GSM2493769","GSM2493769","growth protocol","Arabidopsis thaliana ","Col-0 ","Ground Control ","root ","11 day"," ","Light-activated for 4 hours, then dark-grown ","11 day","-80C ","RNAlater ",
"solid 0.5x MS media plates; grown on the ground, 11 day old plant harvested into KFT containing RNAlater fixative","Atha_Col-0_root_GC_dark_Rep3_GSM2493770","GSM2493770","growth protocol","Arabidopsis thaliana ","Col-0 ","Ground Control ","root ","11 day"," ","Light-activated for 4 hours, then dark-grown ","11 day","-80C ","RNAlater ",
"solid 0.5x MS media plates; grown on the ground, 11 day old plant harvested into KFT containing RNAlater fixative","Atha_Ws_root_GC_Alight_Rep1_GSM2493762","GSM2493762","growth protocol","Arabidopsis thaliana ","Ws ","Ground Control ","root ","11 day"," ","4-6 umoles m-2 s-1 total light ","11 day","-80C ","RNAlater ",
"solid 0.5x MS media plates; grown on the ground, 11 day old plant harvested into KFT containing RNAlater fixative","Atha_Ws_root_GC_Alight_Rep2_GSM2493763","GSM2493763","growth protocol","Arabidopsis thaliana ","Ws ","Ground Control ","root ","11 day"," ","4-6 umoles m-2 s-1 total light ","11 day","-80C ","RNAlater ",
"solid 0.5x MS media plates; grown on the ground, 11 day old plant harvested into KFT containing RNAlater fixative","Atha_Ws_root_GC_Alight_Rep3_GSM2493764","GSM2493764","growth protocol","Arabidopsis thaliana ","Ws ","Ground Control ","root ","11 day"," ","4-6 umoles m-2 s-1 total light ","11 day","-80C ","RNAlater ",
"solid 0.5x MS media plates; grown on the ground, 11 day old plant harvested into KFT containing RNAlater fixative","Atha_Ws_root_GC_dark_Rep1_GSM2493771","GSM2493771","growth protocol","Arabidopsis thaliana ","Ws ","Ground Control ","root ","11 day"," ","Light-activated for 4 hours, then dark-grown ","11 day","-80C ","RNAlater ",
"solid 0.5x MS media plates; grown on the ground, 11 day old plant harvested into KFT containing RNAlater fixative","Atha_Ws_root_GC_dark_Rep2_GSM2493772","GSM2493772","growth protocol","Arabidopsis thaliana ","Ws ","Ground Control ","root ","11 day"," ","Light-activated for 4 hours, then dark-grown ","11 day","-80C ","RNAlater ",
"solid 0.5x MS media plates; grown on the ground, 11 day old plant harvested into KFT containing RNAlater fixative","Atha_Ws_root_GC_dark_Rep3_GSM2493773","GSM2493773","growth protocol","Arabidopsis thaliana ","Ws ","Ground Control ","root ","11 day"," ","Light-activated for 4 hours, then dark-grown ","11 day","-80C ","RNAlater ",
"solid 0.5x MS media plates; grown on the ground, 11 day old plant harvested into KFT containing RNAlater fixative","Atha_Col-0-PhyD_root_GC_Alight_Rep1_GSM2493765","GSM2493765","growth protocol","Arabidopsis thaliana ","Col-0 PhyD ","Ground Control ","root ","11 day"," ","4-6 umoles m-2 s-1 total light ","11 day","-80C ","RNAlater ",
"solid 0.5x MS media plates; grown on the ground, 11 day old plant harvested into KFT containing RNAlater fixative","Atha_Col-0-PhyD_root_GC_Alight_Rep2_GSM2493766","GSM2493766","growth protocol","Arabidopsis thaliana ","Col-0 PhyD ","Ground Control ","root ","11 day"," ","4-6 umoles m-2 s-1 total light ","11 day","-80C ","RNAlater ",
"solid 0.5x MS media plates; grown on the ground, 11 day old plant harvested into KFT containing RNAlater fixative","Atha_Col-0-PhyD_root_GC_Alight_Rep3_GSM2493767","GSM2493767","growth protocol","Arabidopsis thaliana ","Col-0 PhyD ","Ground Control ","root ","11 day"," ","4-6 umoles m-2 s-1 total light ","11 day","-80C ","RNAlater ",
"solid 0.5x MS media plates; grown on the ground, 11 day old plant harvested into KFT containing RNAlater fixative","Atha_Col-0-PhyD_root_GC_dark_Rep1_GSM2493774","GSM2493774","growth protocol","Arabidopsis thaliana ","Col-0 PhyD ","Ground Control ","root ","11 day"," ","Light-activated for 4 hours, then dark-grown ","11 day","-80C ","RNAlater ",
"solid 0.5x MS media plates; grown on the ground, 11 day old plant harvested into KFT containing RNAlater fixative","Atha_Col-0-PhyD_root_GC_dark_Rep2_GSM2493775","GSM2493775","growth protocol","Arabidopsis thaliana ","Col-0 PhyD ","Ground Control ","root ","11 day"," ","Light-activated for 4 hours, then dark-grown ","11 day","-80C ","RNAlater ",
"solid 0.5x MS media plates; grown on the ground, 11 day old plant harvested into KFT containing RNAlater fixative","Atha_Col-0-PhyD_root_GC_dark_Rep3_GSM2493776","GSM2493776","growth protocol","Arabidopsis thaliana ","Col-0 PhyD ","Ground Control ","root ","11 day"," ","Light-activated for 4 hours, then dark-grown ","11 day","-80C ","RNAlater ",
"solid 0.5x MS media plates; grown in spaceflight, 11 day old plant harvested into KFT containing RNAlater fixative","Atha_Col-0_root_FLT_Alight_Rep1_GSM2493777","GSM2493777 ","growth protocol","Arabidopsis thaliana ","Col-0 ","Space Flight ","root ","11 day","12 days after launch ","4-6 umoles m-2 s-1 total light ","11 day","Minus Eighty-degree Laboratory Freezer for ISS (MELFI) ","RNAlater ",
"solid 0.5x MS media plates; grown in spaceflight, 11 day old plant harvested into KFT containing RNAlater fixative","Atha_Col-0_root_FLT_Alight_Rep2_GSM2493778","GSM2493778","growth protocol","Arabidopsis thaliana ","Col-0 ","Space Flight ","root ","11 day","12 days after launch ","4-6 umoles m-2 s-1 total light ","11 day","Minus Eighty-degree Laboratory Freezer for ISS (MELFI) ","RNAlater ",
"solid 0.5x MS media plates; grown in spaceflight, 11 day old plant harvested into KFT containing RNAlater fixative","Atha_Col-0_root_FLT_Alight_Rep3_GSM2493779","GSM2493779","growth protocol","Arabidopsis thaliana ","Col-0 ","Space Flight ","root ","11 day","12 days after launch ","4-6 umoles m-2 s-1 total light ","11 day","Minus Eighty-degree Laboratory Freezer for ISS (MELFI) ","RNAlater ",
"solid 0.5x MS media plates; grown in spaceflight, 11 day old plant harvested into KFT containing RNAlater fixative","Atha_Col-0_root_FLT_dark_Rep1_GSM2493786","GSM2493786","growth protocol","Arabidopsis thaliana ","Col-0 ","Space Flight ","root ","11 day","12 days after launch ","Light-activated for 4 hours, then dark-grown ","11 day","Minus Eighty-degree Laboratory Freezer for ISS (MELFI) ","RNAlater ",
"solid 0.5x MS media plates; grown in spaceflight, 11 day old plant harvested into KFT containing RNAlater fixative","Atha_Col-0_root_FLT_dark_Rep2_GSM2493787","GSM2493787","growth protocol","Arabidopsis thaliana ","Col-0 ","Space Flight ","root ","11 day","12 days after launch ","Light-activated for 4 hours, then dark-grown ","11 day","Minus Eighty-degree Laboratory Freezer for ISS (MELFI) ","RNAlater ",
"solid 0.5x MS media plates; grown in spaceflight, 11 day old plant harvested into KFT containing RNAlater fixative","Atha_Col-0_root_FLT_dark_Rep3_GSM2493788","GSM2493788","growth protocol","Arabidopsis thaliana ","Col-0 ","Space Flight ","root ","11 day","12 days after launch ","Light-activated for 4 hours, then dark-grown ","11 day","Minus Eighty-degree Laboratory Freezer for ISS (MELFI) ","RNAlater ",
"solid 0.5x MS media plates; grown in spaceflight, 11 day old plant harvested into KFT containing RNAlater fixative","Atha_Ws_root_FLT_Alight_Rep1_GSM2493780","GSM2493780","growth protocol","Arabidopsis thaliana ","Ws ","Space Flight ","root ","11 day","12 days after launch ","4-6 umoles m-2 s-1 total light ","11 day","Minus Eighty-degree Laboratory Freezer for ISS (MELFI) ","RNAlater ",
"solid 0.5x MS media plates; grown in spaceflight, 11 day old plant harvested into KFT containing RNAlater fixative","Atha_Ws_root_FLT_Alight_Rep2_GSM2493781","GSM2493781","growth protocol","Arabidopsis thaliana ","Ws ","Space Flight ","root ","11 day","12 days after launch ","4-6 umoles m-2 s-1 total light ","11 day","Minus Eighty-degree Laboratory Freezer for ISS (MELFI) ","RNAlater ",
"solid 0.5x MS media plates; grown in spaceflight, 11 day old plant harvested into KFT containing RNAlater fixative","Atha_Ws_root_FLT_Alight_Rep3_GSM2493782","GSM2493782","growth protocol","Arabidopsis thaliana ","Ws ","Space Flight ","root ","11 day","12 days after launch ","4-6 umoles m-2 s-1 total light ","11 day","Minus Eighty-degree Laboratory Freezer for ISS (MELFI) ","RNAlater ",
"solid 0.5x MS media plates; grown in spaceflight, 11 day old plant harvested into KFT containing RNAlater fixative","Atha_Ws_root_FLT_dark_Rep1_GSM2493789","GSM2493789","growth protocol","Arabidopsis thaliana ","Ws ","Space Flight ","root ","11 day","12 days after launch ","Light-activated for 4 hours, then dark-grown ","11 day","Minus Eighty-degree Laboratory Freezer for ISS (MELFI) ","RNAlater ",
"solid 0.5x MS media plates; grown in spaceflight, 11 day old plant harvested into KFT containing RNAlater fixative","Atha_Ws_root_FLT_dark_Rep2_GSM2493790","GSM2493790","growth protocol","Arabidopsis thaliana ","Ws ","Space Flight ","root ","11 day","12 days after launch ","Light-activated for 4 hours, then dark-grown ","11 day","Minus Eighty-degree Laboratory Freezer for ISS (MELFI) ","RNAlater ",
"solid 0.5x MS media plates; grown in spaceflight, 11 day old plant harvested into KFT containing RNAlater fixative","Atha_Ws_root_FLT_dark_Rep3_GSM2493791","GSM2493791","growth protocol","Arabidopsis thaliana ","Ws ","Space Flight ","root ","11 day","12 days after launch ","Light-activated for 4 hours, then dark-grown ","11 day","Minus Eighty-degree Laboratory Freezer for ISS (MELFI) ","RNAlater ",
"solid 0.5x MS media plates; grown in spaceflight, 11 day old plant harvested into KFT containing RNAlater fixative","Atha_Col-0-PhyD_root_FLT_Alight_Rep1_GSM2493783","GSM2493783","growth protocol","Arabidopsis thaliana ","Col-0 PhyD ","Space Flight ","root ","11 day","12 days after launch ","4-6 umoles m-2 s-1 total light ","11 day","Minus Eighty-degree Laboratory Freezer for ISS (MELFI) ","RNAlater ",
"solid 0.5x MS media plates; grown in spaceflight, 11 day old plant harvested into KFT containing RNAlater fixative","Atha_Col-0-PhyD_root_FLT_Alight_Rep2_GSM2493784","GSM2493784","growth protocol","Arabidopsis thaliana ","Col-0 PhyD ","Space Flight ","root ","11 day","12 days after launch ","4-6 umoles m-2 s-1 total light ","11 day","Minus Eighty-degree Laboratory Freezer for ISS (MELFI) ","RNAlater ",
"solid 0.5x MS media plates; grown in spaceflight, 11 day old plant harvested into KFT containing RNAlater fixative","Atha_Col-0-PhyD_root_FLT_Alight_Rep3_GSM2493785","GSM2493785","growth protocol","Arabidopsis thaliana ","Col-0 PhyD ","Space Flight ","root ","11 day","12 days after launch ","4-6 umoles m-2 s-1 total light ","11 day","Minus Eighty-degree Laboratory Freezer for ISS (MELFI) ","RNAlater ",
"solid 0.5x MS media plates; grown in spaceflight, 11 day old plant harvested into KFT containing RNAlater fixative","Atha_Col-0-PhyD_root_FLT_dark_Rep1_GSM2493792","GSM2493792","growth protocol","Arabidopsis thaliana ","Col-0 PhyD ","Space Flight ","root ","11 day","12 days after launch ","Light-activated for 4 hours, then dark-grown ","11 day","Minus Eighty-degree Laboratory Freezer for ISS (MELFI) ","RNAlater ",
"solid 0.5x MS media plates; grown in spaceflight, 11 day old plant harvested into KFT containing RNAlater fixative","Atha_Col-0-PhyD_root_FLT_dark_Rep2_GSM2493793","GSM2493793","growth protocol","Arabidopsis thaliana ","Col-0 PhyD ","Space Flight ","root ","11 day","12 days after launch ","Light-activated for 4 hours, then dark-grown ","11 day","Minus Eighty-degree Laboratory Freezer for ISS (MELFI) ","RNAlater ",
"solid 0.5x MS media plates; grown in spaceflight, 11 day old plant harvested into KFT containing RNAlater fixative","Atha_Col-0-PhyD_root_FLT_dark_Rep3_GSM2493794","GSM2493794","growth protocol","Arabidopsis thaliana ","Col-0 PhyD ","Space Flight ","root ","11 day","12 days after launch ","Light-activated for 4 hours, then dark-grown ","11 day","Minus Eighty-degree Laboratory Freezer for ISS (MELFI) ","RNAlater ",

